iter	Passed	Remaining
0	142	142430
1	145	72557
2	147	48958
3	149	37154
4	151	30063
5	152	25283
6	154	21894
7	156	19353
8	157	17354
9	159	15760
10	160	14454
11	162	13390
12	165	12560
13	167	11816
14	170	11166
15	172	10610
16	175	10152
17	177	9700
18	180	9297
19	183	8973
20	185	8638
21	187	8347
22	190	8075
23	192	7827
24	195	7620
25	197	7392
26	199	7187
27	202	7020
28	204	6854
29	208	6730
30	210	6591
31	213	6443
32	215	6307
33	217	6180
34	219	6059
35	221	5942
36	224	5830
37	226	5723
38	228	5626
39	230	5530
40	232	5446
41	235	5360
42	240	5341
43	278	6055
44	280	5958
45	283	5870
46	285	5781
47	286	5687
48	288	5598
49	290	5511
50	291	5425
51	293	5345
52	294	5266
53	296	5191
54	298	5121
55	299	5052
56	301	4984
57	302	4920
58	304	4861
59	306	4801
60	308	4742
61	310	4695
62	312	4646
63	314	4599
64	316	4555
65	319	4518
66	322	4489
67	323	4431
68	324	4382
69	326	4337
70	329	4307
71	331	4267
72	333	4229
73	335	4194
74	338	4179
75	341	4154
76	344	4133
77	346	4098
78	348	4067
79	351	4047
80	354	4024
81	356	3986
82	358	3956
83	359	3920
84	360	3879
85	361	3845
86	362	3806
87	364	3772
88	365	3740
89	366	3708
90	368	3676
91	369	3645
92	370	3615
93	372	3587
94	373	3558
95	374	3530
96	376	3502
97	377	3475
98	378	3449
99	380	3422
100	381	3397
101	382	3366
102	383	3341
103	385	3316
104	386	3293
105	387	3270
106	389	3247
107	390	3224
108	391	3202
109	393	3180
110	394	3158
111	395	3137
112	397	3117
113	398	3096
114	399	3076
115	400	3054
116	402	3036
117	403	3018
118	404	2997
119	406	2978
120	407	2960
121	408	2942
122	409	2919
123	410	2901
124	412	2884
125	413	2867
126	414	2850
127	415	2830
128	416	2815
129	418	2799
130	419	2783
131	420	2767
132	422	2752
133	423	2737
134	424	2722
135	426	2706
136	427	2692
137	428	2676
138	429	2663
139	431	2649
140	432	2635
141	433	2622
142	435	2608
143	436	2594
144	437	2581
145	439	2568
146	440	2555
147	441	2543
148	443	2532
149	444	2521
150	446	2509
151	447	2497
152	448	2485
153	450	2473
154	451	2461
155	452	2449
156	453	2437
157	455	2425
158	456	2415
159	457	2403
160	459	2392
161	460	2381
162	461	2371
163	463	2361
164	464	2350
165	465	2340
166	467	2329
167	468	2319
168	469	2309
169	470	2299
170	472	2289
171	473	2279
172	474	2270
173	476	2261
174	477	2251
175	478	2242
176	480	2232
177	481	2223
178	482	2214
179	483	2204
180	484	2193
181	485	2183
182	487	2174
183	488	2165
184	489	2157
185	491	2149
186	492	2140
187	493	2131
188	494	2123
189	496	2114
190	497	2106
191	498	2099
192	500	2092
193	501	2084
194	502	2076
195	504	2068
196	505	2062
197	507	2054
198	508	2046
199	509	2038
200	510	2031
201	512	2023
202	513	2016
203	514	2008
204	516	2001
205	517	1993
206	518	1987
207	520	1980
208	521	1974
209	522	1967
210	524	1960
211	525	1953
212	526	1946
213	528	1940
214	529	1933
215	530	1926
216	532	1920
217	533	1913
218	534	1907
219	536	1901
220	537	1894
221	538	1888
222	540	1881
223	541	1875
224	542	1868
225	543	1862
226	545	1856
227	546	1849
228	547	1843
229	548	1837
230	550	1831
231	551	1825
232	552	1819
233	554	1813
234	555	1807
235	556	1801
236	557	1795
237	559	1790
238	560	1784
239	561	1778
240	562	1772
241	564	1766
242	565	1761
243	566	1755
244	567	1750
245	569	1744
246	570	1739
247	571	1733
248	573	1728
249	574	1722
250	575	1717
251	576	1711
252	577	1706
253	579	1701
254	580	1696
255	581	1691
256	583	1686
257	584	1681
258	585	1675
259	587	1670
260	588	1665
261	589	1660
262	590	1655
263	592	1650
264	593	1645
265	594	1641
266	596	1636
267	597	1631
268	598	1627
269	600	1622
270	601	1617
271	602	1613
272	603	1608
273	605	1603
274	606	1599
275	607	1594
276	609	1589
277	610	1585
278	611	1581
279	613	1576
280	614	1572
281	615	1567
282	616	1563
283	618	1558
284	619	1554
285	620	1549
286	621	1545
287	623	1540
288	624	1536
289	626	1532
290	627	1528
291	628	1524
292	629	1520
293	631	1515
294	632	1511
295	633	1507
296	635	1503
297	636	1499
298	637	1494
299	638	1490
300	640	1487
301	641	1482
302	642	1478
303	644	1474
304	645	1470
305	646	1466
306	647	1462
307	649	1458
308	650	1454
309	651	1450
310	652	1446
311	654	1442
312	655	1439
313	656	1435
314	658	1431
315	659	1427
316	660	1423
317	661	1419
318	663	1415
319	664	1411
320	665	1407
321	666	1404
322	668	1400
323	669	1397
324	671	1394
325	673	1392
326	675	1389
327	676	1386
328	678	1382
329	679	1379
330	680	1375
331	681	1372
332	683	1368
333	684	1365
334	686	1362
335	687	1358
336	688	1355
337	690	1351
338	691	1348
339	692	1344
340	694	1341
341	695	1337
342	696	1334
343	697	1330
344	699	1327
345	700	1324
346	701	1320
347	703	1317
348	704	1313
349	705	1310
350	706	1306
351	708	1303
352	709	1300
353	710	1297
354	712	1294
355	713	1291
356	715	1288
357	716	1285
358	718	1282
359	720	1280
360	721	1277
361	722	1274
362	724	1270
363	725	1267
364	726	1264
365	728	1261
366	729	1258
367	730	1254
368	732	1251
369	733	1248
370	734	1245
371	735	1242
372	737	1239
373	738	1236
374	740	1233
375	741	1231
376	743	1228
377	745	1225
378	746	1222
379	747	1219
380	748	1216
381	749	1213
382	751	1210
383	752	1207
384	754	1204
385	755	1201
386	756	1198
387	757	1195
388	759	1192
389	760	1189
390	761	1186
