iter	Passed	Remaining
0	134	133959
1	137	68858
2	145	48323
3	149	37103
4	152	30346
5	158	26264
6	161	22893
7	162	20182
8	164	18070
9	165	16381
10	166	14995
11	169	13976
12	171	12996
13	172	12161
14	174	11433
15	175	10793
16	176	10234
17	178	9737
18	180	9298
19	184	9049
20	187	8735
21	189	8429
22	190	8113
23	192	7823
24	193	7556
25	195	7308
26	196	7077
27	199	6920
28	200	6728
29	202	6541
30	203	6363
31	204	6197
32	206	6041
33	207	5894
34	208	5755
35	210	5623
36	211	5498
37	214	5430
38	215	5318
39	217	5210
40	218	5108
41	219	5011
42	221	4918
43	222	4829
44	223	4744
45	224	4662
46	226	4583
47	229	4547
48	230	4476
49	231	4405
50	233	4339
51	234	4275
52	235	4213
53	237	4152
54	238	4094
55	239	4038
56	240	3984
57	244	3963
58	245	3916
59	246	3867
60	248	3819
61	249	3773
62	250	3727
63	251	3684
64	253	3642
65	254	3600
66	255	3560
67	258	3542
68	259	3506
69	261	3469
70	262	3433
71	263	3398
72	264	3364
73	266	3330
74	267	3297
75	268	3266
76	269	3235
77	271	3204
78	274	3197
79	275	3170
80	276	3142
81	278	3114
82	278	3081
83	280	3055
84	281	3029
85	282	3004
86	283	2979
87	285	2955
88	287	2944
89	289	2922
90	290	2900
91	291	2878
92	292	2856
93	294	2835
94	295	2814
95	296	2793
96	297	2773
97	299	2755
98	300	2735
99	303	2732
100	304	2713
101	306	2695
102	307	2677
103	308	2659
104	309	2642
105	311	2624
106	312	2610
107	314	2599
108	317	2595
109	319	2582
110	320	2566
111	321	2550
112	322	2534
113	324	2519
114	325	2504
115	327	2493
116	328	2478
117	334	2502
118	337	2499
119	339	2491
120	342	2484
121	345	2485
122	347	2474
123	348	2463
124	350	2451
125	353	2450
126	354	2437
127	356	2429
128	361	2437
129	363	2432
130	365	2422
131	367	2415
132	369	2409
133	371	2400
134	373	2395
135	375	2387
136	377	2380
137	380	2374
138	381	2365
139	383	2358
140	385	2349
141	386	2336
142	390	2340
143	392	2331
144	393	2322
145	395	2313
146	397	2304
147	398	2296
148	400	2288
149	404	2292
150	406	2286
151	409	2282
152	410	2273
153	412	2265
154	413	2256
155	415	2247
156	417	2240
157	421	2244
158	422	2236
159	424	2228
160	425	2217
161	427	2210
162	428	2201
163	436	2226
164	439	2223
165	441	2217
166	448	2237
167	452	2242
168	454	2235
169	456	2230
170	458	2223
171	460	2217
172	462	2211
173	466	2215
174	468	2210
175	470	2205
176	472	2198
177	475	2193
178	477	2190
179	481	2194
180	484	2190
181	491	2210
182	493	2204
183	497	2206
184	499	2200
185	501	2196
186	503	2190
187	506	2185
188	508	2179
189	510	2174
190	514	2178
191	516	2174
192	518	2169
193	520	2163
194	522	2158
195	537	2204
196	540	2203
197	546	2212
198	548	2206
199	550	2200
